address_ss58,airdrop_amount,total_dot,snapshot_dot,nompool_dot,crowdloan_dot,num_criteria,criteria1,criteria11,criteria12,criteria2,criteria3,criteria4,criteria5,criteria6
14yrMHNFyZcbdnSFDpiAAD5nXztKYRgtX4dmRjdt49V4sgbY,1060,8033.4521141326,8033.4521141326,0,0,5,1,1,1,1,1,0,0,0
16ANTRy5S52jKHWtvvxapiiA7Exe6TkxXT3crTttU5rAzJSi,1060,7023.3893225443,2.293443791,7021.0958787533,0,5,1,1,1,1,1,0,0,0
15JpwWy5ZidKzBiVomctkpsUgs7oy3N4P9M1iYa64f5L3wfZ,1060,17474.7147868364,4.7030329023,17470.0117539341,0,5,1,1,1,1,1,0,0,0
14afPkyurZxzbUWu1dJK8fdfVfq14qusXzPQVejryHPWPNuQ,1060,19218.2005227775,19218.2005227775,0,0,5,1,1,1,1,1,0,0,0
12dnBCRshhFEWJGF56ahpJqM455Yw6qaVAD5VonzCQLKxgDU,1050,6003.7505166629,6003.7505166629,0,0,5,1,1,1,1,0,0,1,0
12BExpP2C5yjap2HjvUCpzoa5YkxCUnLxdU6zQc4SWQf6rgc,1050,7378.8034556714,7378.8034556714,0,0,5,1,1,1,1,0,0,1,0
15UhgvuYHBqTx1MLbmmQuEu7VNjurmjFfhUvboNyLu66NxQv,1033,11000.8412649097,6000.8412649097,0,5000,4,1,1,1,0,0,0,1,0
13pi1UkM2foAoXG8p9uQkVDZmhvZNxej58RbLHa8oHXFSvaV,1033,5694.7323809871,5694.7323809871,0,0,4,1,1,1,0,0,0,1,0
13VdGoJu4ueY6RPwm7jpD3XpxpaTNUopjbwPT7nDLpPkNxud,1032,16568.0128415681,16568.0128415681,0,0,4,1,1,1,1,0,0,0,0
1WMn1zw6ZQw19LbGZnyvBBGm6uVkQf2WaT2XfiSPEcZoj24,1032,6573.6626942411,6573.6626942411,0,0,4,1,1,1,1,0,0,0,0
16HwePQeBt1XicdYzAfU1LvHsf3hh9b5jSchmtELPCYytGAS,1032,9004.0629468046,9004.0629468046,0,0,4,1,1,1,1,0,0,0,0
15XcD2zWU61yBjRCP8qcaNyNyhufLsY4QR6RVTTQfNh9wJaK,1032,6716.986699954899,3.8280194326,6713.1586805223,0,4,1,1,1,1,0,0,0,0
14ospnn4uVr84P7F8fu6p4uibiyE3YbpbbsdFDttfJC3KLu2,1032,33108.5380970217,33108.5380970217,0,0,4,1,1,1,1,0,0,0,0
1dsVx6GWGf1SPZ1t3FjRvLNbd57Go8U5eKxBu1c3QjYze49,1032,10160.9504372807,10160.9504372807,0,0,4,1,1,1,1,0,0,0,0
15M6VbZ9GSmyfWwBHmuq4pKyAoC1i3uiRWNVm7Hyp9ErkHVe,1032,9564.1778996133,9564.1778996133,0,0,4,1,1,1,1,0,0,0,0
1jprpHgZ7LoJFvMGgPZHJ8Vp5LihMMMpGRvTpUabqt9Gi8B,1023,11845.6216205409,1088.6216205409,10657,100,5,1,0,1,1,0,0,1,1
1hcyKFrzt2pa834HxQRGfmBsjyeDXVaD7dxFci1rGbyyU4x,1023,6905.5121133858,6600.140207597,214.3719057888,91,5,1,0,1,1,0,0,1,1
16iZ3FXd2uHdc4g3PeYiB2qwHw7j7aCk3r4d3GkJTxmTZcLF,1015,5461.9247220304,6.844331912,5455.0803901184,0,3,1,1,1,0,0,0,0,0
15kUWtCLD9QkbcXjv6Jy4YC3AqXZAJwnYqNGi3Fg3Vfgf4M5,1015,18267.4821270202,1.6564955691,18265.8256314511,0,3,1,1,1,0,0,0,0,0
1EpEiYpWRAWmte4oPLtR5B1TZFxcBShBdjK4X9wWnq2KfLK,1015,123796.9615344441,123796.9615344441,0,0,3,1,1,1,0,0,0,0,0
1414AdoBUPfnMCp1BxhSU7fHuXrucdxNHiVAfqDu5g4TPL8U,1015,6342.1065123373,6342.1065123373,0,0,3,1,1,1,0,0,0,0,0
126rMTrzyTkQsWhQdCN5We1YUCofnB9AuBmjM2ZmbG3NzosA,1006,18572.2461923665,1.2461923665,0,18571,4,1,0,1,0,0,0,1,1
1LdgYq8KBbQKtw8U9op8hrcCbefXp4mZcy8aZe5DMDV9STb,1006,6163.18303087,1.18303087,0,6162,4,1,0,1,0,0,0,1,1
12nJSGzvrK2q2YK8Cxc8xTf1YGMHgbqh2uBLLkqnXnj7hCYr,1006,5443.0839197687,1.0839197687,0,5442,4,1,0,1,0,0,0,1,1
12gn5px6tc64oSLJzbpk8cN6uYJoqP4HA6KSzyYtFof9rExf,974,9478.625903174,2.5776254251,9476.0482777489,0,5,1,0,1,1,1,0,1,0
13v3Gf7FusDVVssoWaLZhJiqk56UutJ17pCXUp9r5sjUqiAV,974,32646.2796146084,32640.6793564154,0,5.600258193,5,1,0,1,1,1,0,1,0
15Xq2ScsvJMnNH5Mr2Fx4DSYNWQQFscheZTvgqXu1NjAjZow,974,25527.6655292097,25427.6655292097,0,100,5,1,0,1,1,1,0,1,0
1Kd3GXVL3ZpBEgshsKaAGe32W1MNV8afKYEnZaaz1TUJ7Kv,956,14167.3583664908,14167.3583664908,0,0,4,1,0,1,1,1,0,0,0
13iv5f55YwnN96TBfd5BE3kd9RPCx4VeXaN7F2HZMnSo3igS,956,10047.6123225992,10047.6123225992,0,0,4,1,0,1,1,1,0,0,0
14uytQviVUo2N9SmUeRyAQHPNRVXemgH4VhJs7kq7yqTuguF,956,6576.9659423635,6576.9659423635,0,0,4,1,0,1,1,1,0,0,0
13m59AirZNWrLNPE4ezRfcUXALBPRcDDPwNEXtA4iE6bgHWT,946,6221.2095616008,6221.2095616008,0,0,4,1,0,1,1,0,0,1,0
15Dg5pisWptiHRXpg88cav2ChQhBCg6PXxjekHUaBgGDwBbz,946,262892.2935277582,237592.2935277582,6500,18800,4,1,0,1,1,0,0,1,0
152WJvgyRWWPsXZtEXcC1p6bef2RcNJme5FCpSo2VnxB8ZA9,946,29982.5600870569,1.1933842068,29981.3667028501,0,4,1,0,1,1,0,0,1,0
123RuUwodKMsXFbyuCUBXMdZpHQtGhRrHwuXX2TMi99WsUWM,946,5944.2070148855,2818.4778775701,3025.7291373154,100,4,1,0,1,1,0,0,1,0
14mFB2KzSgXqtDEkde9T9SMzD84YBVZ4W7zBkZPW87okranv,929,61200.1462210069,1.1462210069,0,61199,3,1,0,1,0,0,0,1,0
16A8vY9TnQy3m6AP4X1SDxCitSbkD5zNBeqVAJhmuRZ5mfYQ,929,7151.9873605424,6551.9873605424,0,600,3,1,0,1,0,0,0,1,0
12DrjUqxQ4fpTJmLuWNs9Tu5Mqz78iiYCFoUCB8mw1qun2ZS,929,15601.0807345564,6.0807345564,0,15595,3,1,0,1,0,0,0,1,0
16g3NYLg3E7eWpKM2EZLzSkxwtBnG3f2DnqXCfRWDnE8ryaU,929,30006.2097263872,6.2097263872,0,30000,3,1,0,1,0,0,0,1,0
13BFWXMY5ShbjbrjMJGkPfF4fwCu69cUoqExbJ9db4RbnVVB,929,7510.6684929265,1.0684929265,0,7509.6,3,1,0,1,0,0,0,1,0
145r7a6RaZCtgECsAJB2gAF9oQhcmgPGFEVZvEXydc4uHWDu,928,20169.8727391582,20169.8727391582,0,0,3,1,0,1,1,0,0,0,0
15w1rbPQUdAxRFUguP41WTR31EMVsQ9McMQXxWkTnh9oprHm,928,5879.4973517401,1.4973517401,5878,0,3,1,0,1,1,0,0,0,0
1H88VFTRqEdp79DQXj3t1sszsCZhCKnEacLUbVkhPMGf9eS,928,10002.9287715153,10002.9287715153,0,0,3,1,0,1,1,0,0,0,0
12bTrXqz5z1AUeC9ecAqDsRG2WixUE7MqwUyM6AswpX2hbSX,928,101441.1137547109,101441.1137547109,0,0,3,1,0,1,1,0,0,0,0
1sRXSBFfjzyJBxbmRu6snKnvXzikM4JhsGowquT6uazriRs,928,7339.5307519723,1.0101143442,7338.5206376281,0,3,1,0,1,1,0,0,0,0
142oCWKDd57VTdMYedHyy8X2WW8Tpv856TFR3ShZgUPaJxzk,928,6003.1366403588,6003.1366403588,0,0,3,1,0,1,1,0,0,0,0
13YaYqtmaXvTrPiDmeZeMRWsLaNixi3bs8Yhcwrs7US1KidS,911,6584.5787602087,6584.5787602087,0,0,2,1,0,1,0,0,0,0,0
12WKDN26GELestXjwPDKTrtwdaf5yuuNb4Guuc2VUNTCP3vr,911,13684.4678142987,13684.4678142987,0,0,2,1,0,1,0,0,0,0,0
133VgJJgp1s9wxLqgCFxYx6T873hZQNchJM9tmbU6NkYaaqW,911,8984.5901111665,8984.5901111665,0,0,2,1,0,1,0,0,0,0,0
168XbJ18zUzWvC5CaE25FrU1CudocUQXgvzzLPzpiMqoZS11,911,16003.9164615097,16003.9164615097,0,0,2,1,0,1,0,0,0,0,0
14ESrs2Zjdd7TMucyQx9oTbZv1bHMoeN71adUuwsk2ChCYPt,465,25330.2247307507,25034.7247307507,0,295.5,7,1,1,0,1,1,1,1,1
16XHLnbTwYzNdjVDKBjJ991qGycqG6ztsqdUQmYid18FJqNw,465,13705.1277683283,12592.6555636912,607.4722046371,505,7,1,1,0,1,1,1,1,1
12Yka6vKY8gqumJUEFiE6863wyo6V2X9ACwfPFHAW3GEftSu,420,13937.0819190067,1056.5819190067,0,12880.5,5,1,1,0,0,0,1,1,1
13fqemQrozBHKkezcwrSTUYVaWc8AwN4CmMUgwJ7VXZSHHY7,388,5374.8714972508005,1.4364048423,2670.4350924085,2703,6,1,1,0,1,1,1,1,0
14aTdKxYn2cr9de6Cn5BoezbXC5tMvqoo8yNJVk1ibFpyng4,388,75450.5296930721,75450.5296930721,0,0,6,1,1,0,1,1,1,1,0
19LTqtsjBo6Vc8oJhU2Mwuhdqn6cMAxEPfbx1m5b2izNDUg,388,11153.1507201654,11142.1507201654,0,11,6,1,1,0,1,1,1,1,0
1psux4xpsRgXCqr6rYyiZ6sz7Z3L5fjKJx972sn1TYqBRfG,388,9330.6387285951,9313.6181553847,12.0205732104,5,6,1,1,0,1,1,1,1,0
165UCqvJQVAuCRj69NHwHJHcxwepjQWbEZPBTbD11n4QUM74,388,58743.6328427567,58743.6328427567,0,0,6,1,1,0,1,1,1,1,0
14DXZwU4PF54cBdtCbHPAtJZFrhJGHrP8C4gQ5afrQkQvuZk,388,6161.4289259778,6161.4289259778,0,0,6,1,1,0,1,1,1,1,0
